,Country_Code,Reference_Date,Population Subgroup,NO_CASES,NO_DEATHS,PREV_RATE,Country,Population,GDP ($ per capita),Region,cases_normalized_percentage,flag
11699,HTI,1999,Cumulative AIDS cases & deaths,8902,"1,280",-1.0,Haiti,8308504,1600.0,LATIN AMER. & CARIB,0.10714323541277707,🇭🇹
11705,HTI,1986,Cumulative AIDS cases & deaths,810,124,-1.0,Haiti,8308504,1600.0,LATIN AMER. & CARIB,0.009749047481953429,🇭🇹
11815,IDN,1997,Cumulative AIDS cases & deaths,153,84,-1.0,Indonesia,245452739,3200.0,ASIA (EX. NEAR EAST),6.23337920869565e-05,🇮🇩
11818,IDN,1997,Cumulative AIDS cases & deaths,0,0,-1.0,Indonesia,245452739,3200.0,ASIA (EX. NEAR EAST),0.0,🇮🇩
11819,IDN,1997,Cumulative AIDS cases & deaths,37,17,-1.0,Indonesia,245452739,3200.0,ASIA (EX. NEAR EAST),1.507418501449275e-05,🇮🇩
11820,IDN,1997,Cumulative AIDS cases & deaths,2,0,-1.0,Indonesia,245452739,3200.0,ASIA (EX. NEAR EAST),8.148208115942026e-07,🇮🇩
11821,IDN,1997,Cumulative AIDS cases & deaths,13,6,-1.0,Indonesia,245452739,3200.0,ASIA (EX. NEAR EAST),5.296335275362317e-06,🇮🇩
11822,IDN,1997,Cumulative AIDS cases & deaths,0,0,-1.0,Indonesia,245452739,3200.0,ASIA (EX. NEAR EAST),0.0,🇮🇩
11823,IDN,1997,Cumulative AIDS cases & deaths,2,2,-1.0,Indonesia,245452739,3200.0,ASIA (EX. NEAR EAST),8.148208115942026e-07,🇮🇩
11824,IDN,1997,Cumulative AIDS cases & deaths,0,0,-1.0,Indonesia,245452739,3200.0,ASIA (EX. NEAR EAST),0.0,🇮🇩
11825,IDN,1997,Cumulative AIDS cases & deaths,8,6,-1.0,Indonesia,245452739,3200.0,ASIA (EX. NEAR EAST),3.2592832463768105e-06,🇮🇩
11826,IDN,1997,Cumulative AIDS cases & deaths,2,0,-1.0,Indonesia,245452739,3200.0,ASIA (EX. NEAR EAST),8.148208115942026e-07,🇮🇩
11827,IDN,1997,Cumulative AIDS cases & deaths,11,8,-1.0,Indonesia,245452739,3200.0,ASIA (EX. NEAR EAST),4.481514463768115e-06,🇮🇩
